datetime_utc,symbol,direction,exchange,confidence,price,rsi,count
2025-10-19T12:20:32.316365+00:00,DOGS/USDT,SHORT,mexc,0.75,7.19e-05,76.71920769981871,3
2025-10-19T13:18:17.455583+00:00,DOGS/USDT,SHORT,bitget,0.75,7.27e-05,74.3322909724715,4
2025-10-19T14:10:26.439605+00:00,BRETT/USDT,SHORT,mexc,0.75,0.0275,65.12601211074919,2
2025-10-19T15:10:55.108500+00:00,DOGE/USDT,SHORT,mexc,0.75,0.19595,66.62776041086768,2
2025-10-19T15:10:55.108500+00:00,SHIB/USDT,SHORT,mexc,1.0,1.0125e-05,64.55203116304983,2
2025-10-19T15:10:55.108500+00:00,PEPE/USDT,SHORT,mexc,0.75,7.021e-06,69.21906693711963,2
2025-10-19T15:10:55.108500+00:00,BONK/USDT,SHORT,gateio,0.75,1.473e-05,64.95149725854071,2
2025-10-19T15:10:55.108500+00:00,ORDI/USDT,SHORT,mexc,0.75,5.216,63.63636326821925,2
2025-10-20T04:18:58.899333+00:00,BRETT/USDT,SHORT,okx,0.75,0.02757,74.38418515376404,2
2025-10-20T05:13:35.494771+00:00,CHILLGUY/USDT,SHORT,mexc,0.75,0.02791,86.24992453131614,2
2025-10-20T05:13:35.494771+00:00,MOODENG/USDT,SHORT,gateio,0.75,0.11464,75.49465666780529,2
2025-10-20T06:19:37.899188+00:00,CHILLGUY/USDT,SHORT,gateio,0.75,0.02863,93.26418105188931,3
2025-10-20T06:19:37.899188+00:00,MOODENG/USDT,SHORT,mexc,0.75,0.11575,77.57845910166773,3
2025-10-20T07:14:08.935690+00:00,MOODENG/USDT,SHORT,gateio,0.75,0.11576,53.76342467337752,4
2025-10-20T07:14:08.935690+00:00,1000RATS/USDT,SHORT,mexc,0.75,0.03076,75.91233118447904,2
2025-10-20T07:14:08.935690+00:00,AIXBT/USDT,SHORT,gateio,0.75,0.06133,63.55419006751025,2
2025-10-20T12:23:33.195211+00:00,DOGE/USDT,LONG,mexc,0.75,0.20063,51.21601263198606,2
2025-10-20T18:18:33.045189+00:00,PENGU/USDT,LONG,mexc,0.75,0.02218,19.819794821880663,2
2025-10-21T18:17:00.912068+00:00,DOGS/USDT,LONG,gateio,1.0,6.775e-05,24.270678137165106,2
